2026-04-01_11:56:41:896 Com Port Connected : True
2026-04-01_11:56:41:898 <-FW] ESP-ROM:esp32s3-20210327
2026-04-01_11:56:41:901 <-FW] load:0x3fce3808,len:0x4bc
2026-04-01_11:56:41:904 <-FW] load:0x403c9700,len:0xbd8
2026-04-01_11:56:41:905 <-FW] load:0x403cc700,len:0x2a0c
2026-04-01_11:57:31:847 <-FW] 49951 $1800%
2026-04-01_11:57:32:358 <-FW] 50461 $1800%
2026-04-01_11:57:32:867 <-FW] 50971 $1800%
2026-04-01_11:57:33:377 <-FW] 51481 $1800%
2026-04-01_11:57:33:887 <-FW] 51991 $1800%
2026-04-01_11:57:34:396 <-FW] 52501 $1800%
2026-04-01_11:57:34:907 <-FW] 53011 $1800%
2026-04-01_11:57:35:417 <-FW] 53521 $1800%
2026-04-01_11:57:35:927 <-FW] 54031 $1800%
2026-04-01_11:57:36:437 <-FW] 54541 $1800%
2026-04-01_11:57:36:947 <-FW] 55051 $1800%
2026-04-01_11:57:37:456 <-FW] 55561 $1800%
2026-04-01_11:57:37:967 <-FW] 56071 $1800%
2026-04-01_11:57:38:477 <-FW] 56581 $1800%
2026-04-01_11:57:38:987 <-FW] 57091 $1800%
2026-04-01_11:57:39:497 <-FW] 57601 $1800%
2026-04-01_11:57:40:007 <-FW] 58111 $1800%
2026-04-01_11:57:40:517 <-FW] 58621 $1800%
2026-04-01_11:57:41:027 <-FW] 59131 $1800%
2026-04-01_11:57:41:537 <-FW] 59641 $1800%
2026-04-01_11:57:42:047 <-FW] 60151 $1800%
2026-04-01_11:57:42:557 <-FW] 60661 $1800%
2026-04-01_11:57:43:067 <-FW] 61171 $1800%
2026-04-01_11:57:43:577 <-FW] 61681 $1800%
2026-04-01_11:57:44:086 <-FW] 62191 $1800%
2026-04-01_11:57:44:597 <-FW] 62701 $1800%
2026-04-01_11:57:45:107 <-FW] 63211 $1800%
2026-04-01_11:57:45:617 <-FW] 63721 $1800%
2026-04-01_11:57:46:127 <-FW] 64231 $1800%
2026-04-01_11:57:46:637 <-FW] 64741 $1800%
2026-04-01_11:57:47:147 <-FW] 65251 $1800%
2026-04-01_11:57:47:657 <-FW] 65761 $1800%
2026-04-01_11:57:48:168 <-FW] 66271 $1800%
2026-04-01_11:57:48:677 <-FW] 66781 $1800%
2026-04-01_11:57:49:187 <-FW] 67291 $1800%
2026-04-01_11:57:49:697 <-FW] 67801 $1800%
2026-04-01_11:57:50:207 <-FW] 68311 $1800%
2026-04-01_11:57:50:717 <-FW] 68821 $1800%
2026-04-01_11:57:51:227 <-FW] 69331 $1800%
2026-04-01_11:57:51:737 <-FW] 69841 $1800%
2026-04-01_11:57:52:247 <-FW] 70351 $1800%
2026-04-01_11:57:52:757 <-FW] 70861 $1800%
2026-04-01_11:57:53:267 <-FW] 71371 $1800%
2026-04-01_11:57:53:778 <-FW] 71881 $1800%
2026-04-01_11:57:54:287 <-FW] 72391 $1800%
2026-04-01_11:57:54:797 <-FW] 72901 $1800%
2026-04-01_11:57:55:307 <-FW] 73411 $1800%
2026-04-01_11:57:55:817 <-FW] 73921 $1800%
2026-04-01_11:57:56:328 <-FW] 74431 $1800%
2026-04-01_11:57:56:837 <-FW] 74941 $1800%
2026-04-01_11:57:57:347 <-FW] 75451 $1800%
2026-04-01_11:57:57:858 <-FW] 75961 $1800%
2026-04-01_11:57:58:367 <-FW] 76471 $1800%
2026-04-01_11:57:58:877 <-FW] 76981 $1800%
2026-04-01_11:57:59:387 <-FW] 77491 $1800%
2026-04-01_11:57:59:897 <-FW] 78001 $1800%
2026-04-01_11:58:00:407 <-FW] 78511 $1800%
2026-04-01_11:58:00:917 <-FW] 79021 $1800%
2026-04-01_11:58:01:428 <-FW] 79531 $1800%
2026-04-01_11:58:01:938 <-FW] 80041 $1800%
2026-04-01_11:58:02:447 <-FW] 80551 $1800%
2026-04-01_11:58:02:957 <-FW] 81061 $1800%
2026-04-01_11:58:03:467 <-FW] 81571 $1800%
2026-04-01_11:58:03:977 <-FW] 82081 $1800%
2026-04-01_11:58:04:487 <-FW] 82591 $1800%
2026-04-01_11:58:04:998 <-FW] 83101 $1800%
2026-04-01_11:58:05:508 <-FW] 83611 $1800%
2026-04-01_11:58:06:018 <-FW] 84121 $1800%
2026-04-01_11:58:06:528 <-FW] 84631 $1800%
2026-04-01_11:58:07:038 <-FW] 85141 $1800%
2026-04-01_11:58:07:547 <-FW] 85651 $1800%
2026-04-01_11:58:08:057 <-FW] 86161 $1800%
2026-04-01_11:58:08:568 <-FW] 86671 $1800%
2026-04-01_11:58:09:077 <-FW] 87181 $1800%
2026-04-01_11:58:09:588 <-FW] 87691 $1800%
2026-04-01_11:58:10:097 <-FW] 88201 $1800%
2026-04-01_11:58:10:607 <-FW] 88711 $1800%
2026-04-01_11:58:11:118 <-FW] 89221 $1800%
2026-04-01_11:58:11:628 <-FW] 89731 $1800%
2026-04-01_11:58:12:138 <-FW] 90241 $1800%
2026-04-01_11:58:12:647 <-FW] 90751 $1800%
2026-04-01_11:58:13:158 <-FW] 91261 $1800%
2026-04-01_11:58:13:668 <-FW] 91771 $1800%
2026-04-01_11:58:14:177 <-FW] 92281 $1800%
2026-04-01_11:58:14:688 <-FW] 92791 $1800%
2026-04-01_11:58:15:197 <-FW] 93301 $1800%
2026-04-01_11:58:15:708 <-FW] 93811 $1800%
2026-04-01_11:58:16:218 <-FW] 94321 $1800%
2026-04-01_11:58:16:728 <-FW] 94831 $1800%
2026-04-01_11:58:17:238 <-FW] 95341 $1800%
2026-04-01_11:58:17:747 <-FW] 95851 $1800%
2026-04-01_11:58:18:258 <-FW] 96361 $1800%
2026-04-01_11:58:18:768 <-FW] 96871 $1800%
2026-04-01_11:58:19:278 <-FW] 97381 $1800%
2026-04-01_11:58:19:787 <-FW] 97891 $1800%
2026-04-01_11:58:20:297 <-FW] 98401 $1800%
2026-04-01_11:58:20:807 <-FW] 98911 $1800%
2026-04-01_11:58:21:318 <-FW] 99421 $1800%
2026-04-01_11:58:21:828 <-FW] 99931 $1800%
2026-04-01_11:58:22:338 <-FW] 100441 $1800%
2026-04-01_11:58:22:847 <-FW] 100951 $1800%
2026-04-01_11:58:23:358 <-FW] 101461 $1800%
2026-04-01_11:58:23:868 <-FW] 101971 $1800%
2026-04-01_11:58:24:377 <-FW] 102481 $1800%
2026-04-01_11:58:24:888 <-FW] 102991 $1800%
2026-04-01_11:58:25:397 <-FW] 103501 $1800%
2026-04-01_11:58:25:908 <-FW] 104011 $1800%
2026-04-01_11:58:26:418 <-FW] 104521 $1800%
2026-04-01_11:58:26:927 <-FW] 105031 $1800%
2026-04-01_11:58:27:438 <-FW] 105541 $1800%
2026-04-01_11:58:27:947 <-FW] 106051 $1800%
2026-04-01_11:58:28:457 <-FW] 106561 $1800%
